adsh,cik,name,sic,fye,form,period
0000039311-26-000009,39311,INDEPENDENT BANK CORP /MI/,6022,1231.0,10-K,20251231.0
0000706129-26-000024,706129,HORIZON BANCORP INC /IN/,6022,1231.0,10-K,20251231.0
0000706863-26-000029,706863,UNION BANKSHARES INC,6022,1231.0,10-K,20251231.0
0000711669-26-000007,711669,COLONY BANKCORP INC,6022,1231.0,10-K,20251231.0
0000714562-26-000014,714562,FIRST FINANCIAL CORP /IN/,6022,1231.0,10-K,20251231.0
0000717538-26-000037,717538,ARROW FINANCIAL CORP,6021,1231.0,10-K,20251231.0
0000723646-26-000016,723646,FRANKLIN FINANCIAL SERVICES CORP /PA/,6022,1231.0,10-K,20251231.0
0000732417-26-000022,732417,HILLS BANCORPORATION,6022,1231.0,10-K,20251231.0
0000736772-26-000031,736772,CNB FINANCIAL CORP/PA,6022,1231.0,10-K,20251231.0
0000737875-26-000009,737875,FIRST KEYSTONE CORP,6022,1231.0,10-K,20251231.0
0000750686-26-000010,750686,CAMDEN NATIONAL CORP,6021,1231.0,10-K,20251231.0
0000765207-26-000067,765207,"FIRST BANCORP, INC /ME/",6021,1231.0,10-K,20251231.0
0000775215-26-000025,775215,"HBT FINANCIAL, INC.",6022,1231.0,10-K,20251231.0
0000842517-26-000069,842517,ISABELLA BANK CORP,6022,1231.0,10-K,20251231.0
0000879635-26-000026,879635,MID PENN BANCORP INC,6022,1231.0,10-K,20251231.0
0000880641-26-000004,880641,EAGLE FINANCIAL SERVICES INC,6022,1231.0,10-K,20251231.0
0000893847-26-000037,893847,"HAWTHORN BANCSHARES, INC.",6021,1231.0,10-K,20251231.0
0000913341-26-000010,913341,C & F FINANCIAL CORP,6022,1231.0,10-K,20251231.0
0000920427-26-000012,920427,UNITY BANCORP INC /NJ/,6022,1231.0,10-K,20251231.0
0001013272-26-000003,1013272,NORWOOD FINANCIAL CORP,6022,1231.0,10-K,20251231.0
0001050441-26-000021,1050441,EAGLE BANCORP INC,6022,1231.0,10-K,20251231.0
0001071236-26-000027,1071236,RED RIVER BANCSHARES INC,6022,1231.0,10-K,20251231.0
0001104659-26-024523,921557,REPUBLIC BANCORP INC /KY/,6022,1231.0,10-K,20251231.0
0001104659-26-024613,810958,CITIZENS & NORTHERN CORP,6022,1231.0,10-K,20251231.0
0001104659-26-024646,923139,FLUSHING FINANCIAL CORP,6022,1231.0,10-K,20251231.0
0001104659-26-024659,854560,"GREAT SOUTHERN BANCORP, INC.",6022,1231.0,10-K,20251231.0
0001104659-26-025836,763907,FIRST UNITED CORP/MD/,6021,1231.0,10-K,20251231.0
0001104659-26-027217,743367,BAR HARBOR BANKSHARES,6022,1231.0,10-K,20251231.0
0001104659-26-027378,1710482,"JOHN MARSHALL BANCORP, INC.",6022,1231.0,10-K,20251231.0
0001104659-26-027651,1828588,"HANOVER BANCORP, INC. /MD",6022,1231.0,10-K,20251231.0
0001104659-26-028106,1056943,PEOPLES FINANCIAL SERVICES CORP.,6021,1231.0,10-K,20251231.0
0001104659-26-028308,1754226,"ORANGE COUNTY BANCORP, INC. /DE/",6022,1231.0,10-K,20251231.0
0001104659-26-028501,1413837,FIRST FOUNDATION INC.,6022,1231.0,10-K,20251231.0
0001104659-26-028542,1038773,SMARTFINANCIAL INC.,6021,1231.0,10-K,20251231.0
0001104659-26-028599,1325670,PRIMIS FINANCIAL CORP.,6022,1231.0,10-K,20251231.0
0001104659-26-030236,770460,PEOPLES FINANCIAL CORP /MS/,6022,1231.0,10-K,20251231.0
0001104659-26-030899,731653,UNITED BANCORP INC /OH/,6022,1231.0,10-K,20251231.0
0001104659-26-031270,707605,AMERISERV FINANCIAL INC /PA/,6021,1231.0,10-K,20251231.0
0001104659-26-034395,714712,JUNIATA VALLEY FINANCIAL CORP,6022,1231.0,10-K,20251231.0
0001104659-26-036813,2072421,"SENECA BANCORP, INC.",6021,1231.0,10-K,20251231.0
0001137547-26-000011,1137547,UNITED SECURITY BANCSHARES,6021,1231.0,10-K,20251231.0
0001140361-26-008087,1163668,"SOUTH PLAINS FINANCIAL, INC.",6022,1231.0,10-K,20251231.0
0001140361-26-009103,739421,CITIZENS FINANCIAL SERVICES INC,6022,1231.0,10-K,20251231.0
0001140361-26-009342,894671,OHIO VALLEY BANC CORP,6022,1231.0,10-K,20251231.0
0001140361-26-009383,1085913,FARMERS & MERCHANTS BANCORP,6021,1231.0,10-K,20251231.0
0001140361-26-009576,357301,TRUSTCO BANK CORP N Y,6022,1231.0,10-K,20251231.0
0001140361-26-009657,1746129,BANK7 CORP.,6022,1231.0,10-K,20251231.0
0001174947-26-000299,731122,MUNCY COLUMBIA FINANCIAL CORP,6022,1231.0,10-K,20251231.0
0001174947-26-000410,1437479,ENB FINANCIAL CORP,6021,1231.0,10-K,20251231.0
0001193125-26-085756,763901,"POPULAR, INC.",6022,1231.0,10-K,20251231.0
0001193125-26-093397,898171,UWHARRIE CAPITAL CORP,6022,1231.0,10-K,20251231.0
0001193125-26-096665,1227500,EQUITY BANCSHARES INC,6022,1231.0,10-K,20251231.0
0001193125-26-096836,944745,"CIVISTA BANCSHARES, INC.",6022,1231.0,10-K,20251231.0
0001193125-26-098059,1118004,BANCPLUS CORP,6022,1231.0,10-K,20251231.0
0001193125-26-098467,862831,FINANCIAL INSTITUTIONS INC,6021,1231.0,10-K,20251231.0
0001193125-26-099933,1641601,RIVER FINANCIAL CORP,6022,1231.0,10-K,20251231.0
0001193125-26-103635,717806,"FIRST US BANCSHARES, INC.",6022,1231.0,10-K,20251231.0
0001193125-26-103638,1070680,CF BANKSHARES INC.,6021,1231.0,10-K,20251231.0
0001193125-26-104114,1297107,"COASTALSOUTH BANCSHARES, INC.",6022,1231.0,10-K,20251231.0
0001193125-26-104211,1756701,"LINKBANCORP, INC.",6022,1231.0,10-K,20251231.0
0001193125-26-104410,842717,"BLUE RIDGE BANKSHARES, INC.",6022,1231.0,10-K,20251231.0
0001193125-26-105046,803164,CHOICEONE FINANCIAL SERVICES INC,6022,1231.0,10-K,20251231.0
0001193125-26-106151,1913971,"PRINCETON BANCORP, INC.",6022,1231.0,10-K,20251231.0
0001193125-26-107482,750558,QNB CORP.,6022,1231.0,10-K,20251231.0
0001193125-26-108381,880417,"CSB BANCORP, INC.",6022,1231.0,10-K,20251231.0
0001193125-26-111012,750574,"AUBURN NATIONAL BANCORPORATION, INC",6022,1231.0,10-K,20251231.0
0001193125-26-128311,796534,NATIONAL BANKSHARES INC,6021,1231.0,10-K,20251231.0
0001193125-26-128416,1572334,VIRGINIA NATIONAL BANKSHARES CORP,6021,1231.0,10-K,20251231.0
