adsh,tag,version,ddate,qtrs,uom,segments,coreg,value
0000007789-26-000071,Liabilities,us-gaap/2025,20251231,0,USD,,,40227249000.0
0000007789-26-000071,Assets,us-gaap/2025,20251231,0,USD,,,45202596000.0
0000007789-26-000071,InterestAndDividendIncomeOperating,us-gaap/2025,20251231,4,USD,,,2172756000.0
0000007789-26-000071,EarningsPerShareBasic,us-gaap/2025,20251231,4,USD,,,2.79
0000022356-26-000069,NetIncomeLoss,us-gaap/2025,20251231,4,USD,,,566251000.0
0000022356-26-000069,Assets,us-gaap/2025,20251231,0,USD,,,32915089000.0
0000022356-26-000069,InterestAndDividendIncomeOperating,us-gaap/2025,20251231,4,USD,,,1483723000.0
0000022356-26-000069,EarningsPerShareBasic,us-gaap/2025,20251231,4,USD,,,4.04
0000034782-26-000011,EarningsPerShareBasic,us-gaap/2025,20251231,4,USD,,,6.41
0000034782-26-000011,StockholdersEquity,us-gaap/2025,20251231,0,USD,,,1274971000.0
0000035527-26-000124,InterestAndDividendIncomeOperating,us-gaap/2025,20251231,4,USD,,,9903000000.0
0000036104-26-000011,EarningsPerShareBasic,us-gaap/2025,20251231,4,USD,,,4.62
0000036270-26-000010,InterestAndDividendIncomeOperating,us-gaap/2025,20251231,4,USD,,,10486000000.0
0000035527-26-000124,Liabilities,us-gaap/2025,20251231,0,USD,,,192652000000.0
0000036104-26-000011,Assets,us-gaap/2025,20251231,0,USD,,,692345000000.0
0000036270-26-000010,EarningsPerShareBasic,us-gaap/2025,20251231,4,USD,,,17.1
0000036966-26-000051,Liabilities,us-gaap/2025,20251231,0,USD,,,74734000000.0
0000036966-26-000051,Assets,us-gaap/2025,20251231,0,USD,,,83876000000.0
0000037808-26-000007,Liabilities,us-gaap/2025,20251231,0,USD,,,43470000000.0
0000037808-26-000007,NetIncomeLoss,us-gaap/2025,20251231,4,USD,,,565000000.0
0000036104-26-000011,StockholdersEquity,us-gaap/2025,20251231,0,USD,,,65193000000.0
0000039263-26-000011,InterestAndDividendIncomeOperating,us-gaap/2025,20251231,4,USD,,,2420747000.0
0000036270-26-000010,NetIncomeLoss,us-gaap/2025,20251231,4,USD,,,2851000000.0
0000039311-26-000009,NetIncomeLoss,us-gaap/2025,20251231,4,USD,,,68541000.0
0000034782-26-000011,Liabilities,us-gaap/2025,20251231,0,USD,,,7737180000.0
0000035527-26-000124,Assets,us-gaap/2025,20251231,0,USD,,,214376000000.0
0000040729-26-000005,Liabilities,us-gaap/2025,20251231,0,USD,,,180504000000.0
